fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1871,A,Great Britain,FREE,289,3444533,3501901,5116304,3856644,137547.08
1871,A,Greece,DUTIABLE,1,246023,14163,156847,8938,0.0
1871,A,Holland,,1,1128,3224,1970,3370,886.5
1871,A,Holland,DUTIABLE,15,126511,41920,19536,8673,1895.53
1871,A,Holland,FREE,6,26146,17806,26003,9341,34.8
1871,A,India,FREE,1,0,10,0,30,0.0
1871,A,Italy,DUTIABLE,6,24400,85944,22659,4733,1426.1
1871,A,Italy,FREE,3,3472,432,3482,556,0.0
1871,A,Japan,DUTIABLE,4,192788,168523,162973,142298,73319.16
1871,A,Jersey,DUTIABLE,1,0,266,0,266,13.38
1871,A,Jersey,FREE,7,16938,286132,16945,286247,69.09
1871,A,Lbs,FREE,4,20,32112,130,7531,0.0
1871,A,Madeira,DUTIABLE,2,147,28727,10983,31521,5585.89
1871,A,Madera,FREE,1,10400,1900,10400,1900,0.0
1871,A,Mille,FREE,1,51,883,883,883,0.0
1871,A,Newfoundland,DUTIABLE,7,103,685,101,457,288.25
1871,A,Norway,DUTIABLE,3,1,11,1,11,69.6
1871,A,Number,FREE,1,49,0,1077,49,0.0
1871,A,Ontario,FREE,1,0,0,45,0,0.0
1871,A,Paints and Colors,DUTIABLE,1,20245,144284,21630,144174,21626.27
1871,A,Pickles and Sauces,FREE,1,0,213,0,213,8.54
1871,A,Pkgs,DUTIABLE,5,0,0,0,61178,6572.24
1871,A,Pkgs,FREE,7,8393,91,69419,12054,0.0
1871,A,Portugal,DUTIABLE,7,20859,48661,29464,31397,9792.8
1871,A,Portugal,FREE,4,1003339,6901,61132,5166,0.0
1871,A,Prince Edward Island,DUTIABLE,4,98,5982,95,6106,912.59
1871,A,Prince Edward Island,FREE,19,2572242,352985,2563212,352985,56.5
1871,A,Prince Edward Island Newfoundland,FREE,1,0,506415,0,506415,0.0
1871,A,Province of Ontario,FREE,19,617,70874,3661,36611,1904.64
1871,A,Province of Ontario..... Great Britain..... United States,FREE,2,161,47,161,0,0.0
1871,A,Province of Ontario..... United States,FREE,1,0,257,0,0,0.0
1871,A,Prussia,DUTIABLE,1,2,243,2,243,36.45
1871,A,Quebec,FREE,1,0,0,0,787,31.51
1871,A,Rice,DUTIABLE,1,6033,979019,2434,24630,0.0
1871,A,South America,FREE,4,39541,537419,39541,537419,0.0
1871,A,Spain,DUTIABLE,13,931478,206172,1023125,151849,42335.8
1871,A,Spain,FREE,5,30112,23070,56352,16904,1710.45
1871,A,Spanish West Indies,,1,52078,40443,49278,42464,22175.29
1871,A,Spanish West Indies,DUTIABLE,16,27758984,1440212,43513700,1414353,589828.66
1871,A,Spanish West Indies,FREE,5,6313374,173797,5103210,140109,45927.47
1871,A,St. Pierre Miquelon,DUTIABLE,1,15767,15969,13839,13273,6249.98
1871,A,Switzerland,DUTIABLE,1,0,25664,15,24277,3641.55
1871,A,Tons,FREE,1,69,0,29,69,0.0
1871,A,Turkey,DUTIABLE,1,15300,753,15300,753,0.0
1871,A,United States,,7,286712,37244,316307,41614,22958.65
1871,A,United States,DUTIABLE,231,22966775,10044980,28411376,6180571,869303.62
1871,A,United States,FREE,279,9444026,5834757,9167967,7018138,158682.3
1871,A,Vinegar and Acetic Acid,DUTIABLE,1,2398,977482,1564,977482,0.0
1873,A,"Ale, Beer and Porter—in casks",FREE,1,0,0,2391,903,209.79
1873,A,"Anchors, Chain Cables, Shackles Riders, and Sheaves",FREE,1,12880,78603,12880,78603,0.0
1873,A,Australia,FREE,1,11019,0,424436,97999,0.0
1873,A,Austria,DUTIABLE,4,2,1179,5,1289,176.85
1873,A,Austria,FREE,1,160,800,160,800,0.0
1873,A,B. N. A. Provinces,DUTIABLE,4,14337,14753,14075,15213,2375.86
1873,A,B. N. A. Provinces,FREE,30,2184154,1258293,2721580,1787479,6.0
1873,A,Belgium,DUTIABLE,10,11191358,795039,533295,383031,61752.6
1873,A,Belgium,FREE,3,946,1759,997,1732,111.8
1873,A,Bermuda,FREE,1,1503,4643,1503,4643,0.0
1873,A,Brazil,DUTIABLE,1,1290407,61253,9602909,391569,0.0
1873,A,Brazil,FREE,2,20890,20890,3631,4731,0.0
1873,A,British East Indies,FREE,1,22542,9475,22542,9475,0.0
1873,A,British Guiana,FREE,3,148833,62381,119071,2813,0.0
1873,A,British West Indies,,1,0,152,47,235,512.0
1873,A,British West Indies,DUTIABLE,28,13546178,593079,9296092,369426,139388.38
1873,A,British West Indies,FREE,28,170463,43764,169094,71667,43.2
1873,A,China,DUTIABLE,1,6667,707,6666,1019,152.85
1873,A,China,FREE,5,2554932,852096,3261981,1004537,0.0
1873,A,Demerara,FREE,1,0,0,5954,2704,1448.82
1873,A,Dutch West Indies,FREE,1,236358,236358,37196,37196,0.0
1873,A,East Indies,FREE,1,29034,5099,29034,5099,0.0
1873,A,France,,3,12258,4665,12258,4615,698.98
1873,A,France,DUTIABLE,97,290719,1784739,327273,1873014,317540.14
1873,A,France,FREE,27,91001,115909,91457,58522,10129.29
1873,A,French West Indies,DUTIABLE,3,60423,3007,198736,5992,2546.12
1873,A,French West Indies,FREE,5,10987,10489,10094,9896,0.0
1873,A,Galls,DUTIABLE,1,55920,55920,55920,55920,0.0
1873,A,Germany,,2,987,4193,536,3259,2937.8
1873,A,Germany,DUTIABLE,72,218961,1298269,445935,575344,92691.98
1873,A,Germany,FREE,21,458771,352607,293283,223329,119441.88
1873,A,Great Britain,,3,15800,6531,15788,6373,878.14
1873,A,Great Britain,DUTIABLE,305,16363345,26786428,17432008,26848282,3700675.86
1873,A,Great Britain,FREE,282,7571126,6677259,9034411,10669961,39628.21
1873,A,Greece,DUTIABLE,4,660,33458,132,5759,865.35
1873,A,Holland,,3,13160,20180,714,14031,21566.75
1873,A,Holland,DUTIABLE,16,31588,74121,44333,81551,30983.11
1873,A,Holland,FREE,6,10345,8962,4865,3006,345.81
1873,A,Honolulu,FREE,2,2500,51775,559268,38346,14928.13
1873,A,Italy,DUTIABLE,7,26,3999,25,8692,1311.3
1873,A,Japan,DUTIABLE,1,11776,4359,2079,3445,662.28
1873,A,Japan,FREE,2,363519,93308,604359,157542,5.1
1873,A,Jersey,DUTIABLE,2,95,41217,97,45250,6788.03
1873,A,Jersey,FREE,1,29,346,29,346,34.3
