gbp,verdict,measure,group,article,year,unit,winner,tier,favours,origin_sum,n_origins,origin_ratio,spread_pct,n_readings,candidates,commodity
375154703,,value,corn grain and meal,total,1876,GBP,375154703,B,,0,0,0.0,86.32,15,"51,812,438 [8: as_1876/ch,as_1876/inf,as_1877/ch,as_1878/inf,as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf] | 375,154,703 [5: as_1876/ch,as_1877/ch,as_1878/ch,as_1879/ch,as_1880/ch] | 51,312,438 [1: as_1877/inf] | 51,512,438 [1: as_1878/ch]",
373939577,,value,corn grain and meal,total,1875,GBP,373939577,B,,0,0,0.0,85.8,15,"53,086,691 [10: as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf,as_1879/ch,as_1879/inf] | 373,939,577 [5: as_1875/ch,as_1876/ch,as_1877/ch,as_1878/ch,as_1879/ch]",
371287372,,value,corn grain and meal,total,1873,GBP,371287372,B,,0,0,0.0,86.07,15,"51,737,811 [10: as_1873/ch,as_1873/inf,as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf] | 371,287,372 [5: as_1873/ch,as_1874/ch,as_1875/ch,as_1876/ch,as_1877/ch]",
370082701,,value,corn grain and meal,total,1874,GBP,370082701,B,,0,0,0.0,86.2,15,"51,070,202 [10: as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf] | 370,082,701 [5: as_1874/ch,as_1875/ch,as_1876/ch,as_1877/ch,as_1878/ch]",
368770742,,value,corn grain and meal,total,1878,GBP,368770742,B,,0,0,0.0,83.98,15,"59,064,875 [10: as_1878/ch,as_1878/inf,as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf,as_1881/ch,as_1881/inf,as_1882/ch,as_1882/inf] | 368,770,742 [5: as_1878/ch,as_1879/ch,as_1880/ch,as_1881/ch,as_1882/ch]",
362991875,,value,corn grain and meal,total,1879,GBP,362991875,B,,0,0,0.0,83.14,15,"61,261,437 [6: as_1879/ch,as_1879/inf,as_1881/ch,as_1882/inf,as_1883/ch,as_1883/inf] | 362,991,875 [4: as_1880/ch,as_1881/ch,as_1882/ch,as_1883/ch] | 61,261,137 [3: as_1880/ch,as_1880/inf,as_1881/inf] | 362,981,875 [1: as_1879/ch] | 61,201,437 [1: as_1882/ch]",
354693624,,value,corn grain and meal,total,1872,GBP,354693624,B,,0,0,0.0,85.56,15,"51,228,816 [6: as_1872/inf,as_1873/ch,as_1873/inf,as_1875/ch,as_1875/inf,as_1876/inf] | 354,693,624 [4: as_1872/ch,as_1873/ch,as_1875/ch,as_1876/ch] | 351,693,624 [1: as_1874/ch] | 51,263,816 [1: as_1874/inf] | 51,225,816 [1: as_1872/ch] | 51,223,810 [1: as_1874/ch] | 51,228,810 [1: as_1876/ch]",
295460214,,value,corn grain and meal,total,1869,GBP,295460214,B,,0,0,0.0,87.36,6,"37,351,089 [4: as_1872/ch,as_1872/inf,as_1873/ch,as_1873/inf] | 295,460,214 [2: as_1872/ch,as_1873/ch]",
294693608,,value,corn grain and meal,total,1868,GBP,294693608,C,,0,0,0.0,86.62,3,"39,432,624 [2: as_1872/ch,as_1872/inf] | 294,693,608 [1: as_1872/ch]",
177146628,,value,,petroleum illuminating,1895,GBP,177146628,C,,0,0,0.0,98.1,2,"177,146,628 [1: as_1899/ch] | 3,368,904 [1: as_1899/ch]",
