gold_commodity,year,unit,gold_total,note
Spirits Unenumerated including Shrub,1871,Gallons,39836,name-matched(subset) but absent in 1871
Spirits Unenumerated not Sweetened,1891,Proof Gallons,1639895,name-matched(subset) but absent in 1891
Spirits Unenumerated not Sweetened or Mixed,1871,Proof Gallons,1537772,name-matched(subset) but absent in 1871
Spirits Unenumerated not Sweetened or Mixed,1876,Proof Gallons,2324405,name-matched(subset) but absent in 1876
Spirits Unenumerated not Sweetened or Mixed,1886,Proof Gallons,2245653,name-matched(subset) but absent in 1886
Spirits Unenumerated not tested,1886,Gallons,18639,name-matched(subset) but absent in 1886
Spirits Unenumerated not tested,1891,Gallons,15654,name-matched(subset) but absent in 1891
Stationery other than Paper,1871,None,0,name-matched(exact) but absent in 1871
Stones Marble,1896,Tons,673206,name-matched(subset) but absent in 1896
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,1871,Tons,58657,name-matched(exact) but absent in 1871
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,1891,Tons,428072,name-matched(exact) but absent in 1891
Succades and Confectionery including Fruits and Vegetables except Plums preserved in Sugar,1871,CWTS (Hundredweights),30809,name-matched(subset) but absent in 1871
Succades including all Fruits and Vegetables preserved in Sugar,1876,CWTS (Hundredweights),27261,name-matched(subset) but absent in 1876
Succades including all Fruits and Vegetables preserved in Sugar,1881,CWTS (Hundredweights),39087,name-matched(subset) but absent in 1881
Succades including all Fruits and Vegetables preserved in Sugar,1886,CWTS (Hundredweights),70667,name-matched(subset) but absent in 1886
Succades including all Fruits and Vegetables preserved in Sugar,1891,CWTS (Hundredweights),120752,name-matched(subset) but absent in 1891
Sugar Glucose Liquid or Vegetable Syrup,1871,CWTS (Hundredweights),22046,name-matched(subset) but absent in 1871
Sugar Refined,1896,CWTS (Hundredweights),14776929,name-matched(subset) but absent in 1896
Sugar Refined In Lumps and Loaves,1886,CWTS (Hundredweights),1715679,name-matched(subset) but absent in 1886
Sugar Refined and Sugar Candy,1871,CWTS (Hundredweights),1640949,name-matched(subset) but absent in 1871
Sugar Refined and Sugar Candy,1886,CWTS (Hundredweights),4656371,name-matched(subset) but absent in 1886
Sugar Refined and Sugar Candy,1891,CWTS (Hundredweights),9244848,name-matched(subset) but absent in 1891
Sugar Refined and Sugar Candy,1896,CWTS (Hundredweights),12131275,name-matched(subset) but absent in 1896
Sugar Unrefined Cane and Other Sorts,1886,CWTS (Hundredweights),9461866,name-matched(subset) but absent in 1886
Sugar Unrefined Total,1871,CWTS (Hundredweights),12126508,name-matched(subset) but absent in 1871
Sugar Unrefined Total,1876,CWTS (Hundredweights),15612214,name-matched(subset) but absent in 1876
Sugar Unrefined Total,1881,CWTS (Hundredweights),18651383,name-matched(subset) but absent in 1881
Sugar Unrefined Total,1886,CWTS (Hundredweights),16133661,name-matched(subset) but absent in 1886
Swine and Hogs,1871,Number,85562,name-matched(subset) but absent in 1871
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,1871,CWTS (Hundredweights),5584,name-matched(exact) but absent in 1871
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,1881,CWTS (Hundredweights),4737,name-matched(exact) but absent in 1881
Tallow and Stearine,1871,CWTS (Hundredweights),1491931,name-matched(exact) but absent in 1871
Tar,1871,Barrels,154315,name-matched(exact) but absent in 1871
Tea,1876,Lbs. (Pounds),185536371,name-matched(exact) but absent in 1876
Tea,1881,Lbs. (Pounds),209801522,name-matched(exact) but absent in 1881
Tea,1886,Lbs. (Pounds),230669292,name-matched(exact) but absent in 1886
Teeth Elephants Sea Cow and Sea Horses,1871,CWTS (Hundredweights),12797,name-matched(exact) but absent in 1871
Tin Manufactures Unenumerated,1871,None,0,name-matched(subset) but absent in 1871
Tin Ore,1871,Tons,448,name-matched(subset) but absent in 1871
Tin in Blocks Ingots Bars or Slabs and Regulus,1871,CWTS (Hundredweights),171659,name-matched(subset) but absent in 1871
Tobacco Manufactured Cavendish or Negrohead,1871,Lbs. (Pounds),2498208,name-matched(subset) but absent in 1871
Tobacco Manufactured Cavendish or Negrohead,1886,Lbs. (Pounds),1333071,name-matched(subset) but absent in 1886
Tobacco Manufactured Cavendish or Negrohead,1891,Lbs. (Pounds),917033,name-matched(subset) but absent in 1891
Tobacco Manufactured Cavendish or Negrohead,1896,Lbs. (Pounds),998264,name-matched(subset) but absent in 1896
Tobacco Manufactured Cigars,1871,Lbs. (Pounds),1086228,name-matched(subset) but absent in 1871
Tobacco Manufactured Cigars,1886,Lbs. (Pounds),1921734,name-matched(subset) but absent in 1886
Tobacco Manufactured Cigars,1891,Lbs. (Pounds),2238674,name-matched(subset) but absent in 1891
Tobacco Manufactured Cigars,1896,Lbs. (Pounds),3380969,name-matched(subset) but absent in 1896
Tobacco Manufactured Other Sorts,1871,Lbs. (Pounds),253888,name-matched(exact) but absent in 1871
Tobacco Manufactured Other Sorts,1876,Lbs. (Pounds),69103,name-matched(exact) but absent in 1876
Tobacco Manufactured Other Sorts,1881,Lbs. (Pounds),187407,name-matched(exact) but absent in 1881
Tobacco Manufactured Other Sorts,1886,Lbs. (Pounds),309366,name-matched(exact) but absent in 1886
Tobacco Manufactured Snuff,1886,Lbs. (Pounds),2718,name-matched(subset) but absent in 1886
Tobacco Manufactured Snuff,1891,Lbs. (Pounds),4309,name-matched(subset) but absent in 1891
Tobacco Manufactured Snuff,1896,Lbs. (Pounds),143,name-matched(subset) but absent in 1896
Tobacco Unmanufactured,1871,Lbs. (Pounds),73060305,name-matched(subset) but absent in 1871
Tobacco Unmanufactured,1886,Lbs. (Pounds),83217982,name-matched(subset) but absent in 1886
Toys,1871,None,0,name-matched(exact) but absent in 1871
Train Blubber and Spermaceti (Whale Oils),1871,Tuns (whale oil),5388,name-matched(subset) but absent in 1871
Train or Blubber (Whale Oils),1871,Tuns (whale oil),19291,name-matched(exact) but absent in 1871
Train or Blubber (Whale Oils),1886,Tuns (whale oil),14566,name-matched(exact) but absent in 1886
Train or Blubber (Whale Oils),1891,Tuns (whale oil),21360,name-matched(exact) but absent in 1891
Train or Blubber (Whale Oils),1896,Tuns (whale oil),21256,name-matched(exact) but absent in 1896
Turpentine Oil,1871,CWTS (Hundredweights),178615,name-matched(subset) but absent in 1871
Valonia,1871,Tons,27999,name-matched(exact) but absent in 1871
Value of Articles Imported by Parcel Post,1896,None,727033,name-matched(exact) but absent in 1896
Varnish Not containing Alcohol,1871,None,0,name-matched(exact) but absent in 1871
Varnish Not containing Alcohol,1886,None,0,name-matched(exact) but absent in 1886
Varnish Not containing Alcohol,1891,None,0,name-matched(exact) but absent in 1891
Varnish Not containing Alcohol,1896,None,0,name-matched(exact) but absent in 1896
Varnish containing Alcohol,1886,Gallons,274,name-matched(exact) but absent in 1886
Varnish containing Alcohol,1891,Gallons,304,name-matched(exact) but absent in 1891
Vegetable Substances applicable to the same uses as Hemp or Flax,1871,CWTS (Hundredweights),23106,name-matched(exact) but absent in 1871
Vegetable Substances applicable to the same uses as Hemp or Flax,1891,CWTS (Hundredweights),60000,name-matched(exact) but absent in 1891
Vegetable Substances applicable to the same uses as Hemp or Flax,1896,CWTS (Hundredweights),6444,name-matched(exact) but absent in 1896
Vegetables Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Vinegar,1871,Gallons,56096,name-matched(exact) but absent in 1871
Watches,1871,None,0,name-matched(exact) but absent in 1871
Watches,1886,None,0,name-matched(exact) but absent in 1886
Watches,1891,None,0,name-matched(exact) but absent in 1891
Watches,1896,None,0,name-matched(exact) but absent in 1896
Wax,1871,CWTS (Hundredweights),16736,name-matched(exact) but absent in 1871
Whale Fins,1871,CWTS (Hundredweights),2853,no name match
Whale Fins,1876,CWTS (Hundredweights),1799,no name match
Whale Fins,1881,CWTS (Hundredweights),2103,no name match
Wheat,1871,CWTS (Hundredweights),39389803,name-matched(exact) but absent in 1871
Wheat Meal and Flour,1871,CWTS (Hundredweights),3977939,name-matched(exact) but absent in 1871
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1871,CWTS (Hundredweights),120294,name-matched(exact) but absent in 1871
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1881,CWTS (Hundredweights),658109,name-matched(exact) but absent in 1881
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1891,CWTS (Hundredweights),855332,name-matched(exact) but absent in 1891
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1896,CWTS (Hundredweights),1184311,name-matched(exact) but absent in 1896
Wine Red,1871,Gallons,8177492,name-matched(subset) but absent in 1871
Wine Red,1886,Gallons,8957440,name-matched(subset) but absent in 1886
Wine Red in Bottles Sparkling Other Sorts,1891,Gallons,4278,name-matched(subset) but absent in 1891
Wine Red in Bottles Still,1891,Gallons,555998,name-matched(subset) but absent in 1891
Wine Total of all Kinds,1871,Gallons,18224900,name-matched(subset) but absent in 1871
Wine White,1871,Gallons,10047408,name-matched(subset) but absent in 1871
Wine White,1886,Gallons,5595424,name-matched(subset) but absent in 1886
Wine White,1896,Gallons,5057145,name-matched(subset) but absent in 1896
Wine White in Bottles Sparkling Burgundy,1891,Gallons,1224,name-matched(subset) but absent in 1891
Wine White in Bottles Sparkling Other Sorts,1891,Gallons,7162,name-matched(subset) but absent in 1891
Wine White in Bottles Sparkling Other Sorts,1896,Gallons,2697,name-matched(subset) but absent in 1896
Wine White in Bottles Sparkling Samur,1896,Gallons,137855,name-matched(subset) but absent in 1896
Wine in Bottles Sparkling Champagne,1891,Gallons,1579199,name-matched(subset) but absent in 1891
Wine in Bottles Sparkling Moselle,1891,Gallons,47922,name-matched(subset) but absent in 1891
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1871,Loads,2615863,name-matched(subset) but absent in 1871
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1886,Loads,3554769,name-matched(subset) but absent in 1886
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1891,Loads,4216489,name-matched(subset) but absent in 1891
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1871,Tons,24421,name-matched(subset) but absent in 1871
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1891,Tons,91077,name-matched(subset) but absent in 1891
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1871,Loads,1453571,name-matched(subset) but absent in 1871
Wood and Timber Hewn Oak,1871,Loads,97412,name-matched(subset) but absent in 1871
Wood and Timber Hewn Oak,1891,Loads,122796,name-matched(subset) but absent in 1891
Wood and Timber Hewn Teak,1871,Loads,23353,name-matched(subset) but absent in 1871
Wood and Timber Hewn Teak,1891,Loads,49962,name-matched(subset) but absent in 1891
Wood and Timber Hewn Unenumerated,1871,Loads,84558,name-matched(subset) but absent in 1871
Wood and Timber Hewn Unenumerated,1891,Loads,75248,name-matched(subset) but absent in 1891
Wood and Timber House Frames Fittings and Joiners Work,1871,None,0,name-matched(subset) but absent in 1871
Wood and Timber House Frames Fittings and Joiners Work,1886,None,0,name-matched(subset) but absent in 1886
Wood and Timber House Frames Fittings and Joiners Work,1896,None,0,name-matched(subset) but absent in 1896
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1871,Loads,241914,name-matched(subset) but absent in 1871
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1886,Loads,231017,name-matched(subset) but absent in 1886
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1891,Loads,162571,name-matched(subset) but absent in 1891
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1896,Loads,154043,name-matched(subset) but absent in 1896
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1871,Loads,83962,name-matched(subset) but absent in 1871
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1886,Loads,130717,name-matched(subset) but absent in 1886
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1891,Loads,129987,name-matched(subset) but absent in 1891
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1896,Loads,138393,name-matched(subset) but absent in 1896
Wool Alpaca Llama and Vicuna,1871,Lbs. (Pounds),3651250,name-matched(subset) but absent in 1871
Wool Alpaca Llama and Vicuna,1881,Lbs. (Pounds),2620294,name-matched(subset) but absent in 1881
Wool Alpaca Llama and Vicuna,1886,Lbs. (Pounds),3926774,name-matched(subset) but absent in 1886
Wool Alpaca Llama and Vicuna,1891,Lbs. (Pounds),4543362,name-matched(subset) but absent in 1891
Wool Alpaca Llama and Vicuna,1896,Lbs. (Pounds),4962080,name-matched(subset) but absent in 1896
Wool Other kinds and Flocks,1871,Lbs. (Pounds),658311,name-matched(exact) but absent in 1871
Wool Other kinds and Flocks,1881,Lbs. (Pounds),1283473,name-matched(exact) but absent in 1881
Wool Other kinds and Flocks,1886,Lbs. (Pounds),1670656,name-matched(exact) but absent in 1886
Wool Other kinds and Flocks,1891,Lbs. (Pounds),1935216,name-matched(exact) but absent in 1891
Wool Other kinds and Flocks,1896,Lbs. (Pounds),1660617,name-matched(exact) but absent in 1896
Wool Sheep and Lambs,1871,Lbs. (Pounds),319386049,name-matched(exact) but absent in 1871
Wool Sheep and Lambs,1876,Lbs. (Pounds),386568323,name-matched(exact) but absent in 1876
Wool Sheep and Lambs,1881,Lbs. (Pounds),447521441,name-matched(exact) but absent in 1881
Wool Sheep and Lambs,1886,Lbs. (Pounds),592544221,name-matched(exact) but absent in 1886
Wool Sheep and Lambs,1891,Lbs. (Pounds),715470708,name-matched(exact) but absent in 1891
Woollen Manufactures Cloths and Stuffs,1871,Pieces,392384,name-matched(subset) but absent in 1871
Woollen Manufactures Cloths and Stuffs,1881,Pieces,824870,name-matched(subset) but absent in 1881
Woollen Manufactures Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Woollen Manufactures Unenumerated,1881,None,0,name-matched(exact) but absent in 1881
Woollen Manufactures of Goats Wool or Hair,1886,None,0,name-matched(subset) but absent in 1886
Woollen Manufactures of Goats Wool or Hair,1896,None,0,name-matched(subset) but absent in 1896
Woollen Yarn For Fancy Purposes,1871,Lbs. (Pounds),464058,name-matched(subset) but absent in 1871
Woollen Yarn For Weaving,1871,Lbs. (Pounds),11665165,name-matched(subset) but absent in 1871
Woollen Yarn Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Woollen Yarn for Weaving Mixed or not with Silk,1891,Lbs. (Pounds),14712167,name-matched(subset) but absent in 1891
Yeast Dried,1871,CWTS (Hundredweights),133741,name-matched(exact) but absent in 1871
Zinc Crude,1891,Tons,58513,no name match
Zinc Crude in Cakes,1871,Tons,20929,name-matched(subset) but absent in 1871
Zinc Manufactures Unenumerated,1871,CWTS (Hundredweights),175301,name-matched(subset) but absent in 1871
Zinc Ore,1871,Tons,29418,name-matched(subset) but absent in 1871
