volume,year,article_group,article,unit,row_seq,country,cell,printed_subtotal,ratio
as_1876,1876,BLEACHING MATERIALS,,Cwts,224,United States: Atlantic Pacific,153479646.0,330617.0,464.22
as_1898,1896,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36863,Natal,4343.0,10.0,434.3
as_1898,1894,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36856,Cape of Good Hope,8692.0,22.0,395.09
as_1898,1894,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36866,British East Indies,8569.0,22.0,389.5
as_1876,1876,SUGAR,Refined and Candy,Cwts,1855,United States: Atlantic Pacific,512161143.0,1363908.0,375.51
as_1872,1872,SKINS and FURS,"Sheep and Lambs, Undressed, without the Wool",,2329,United States: Atlantic,331653.0,920.0,360.49
as_1876,1876,BRASS,"Manufactures of, not being Ordnance",Cwts,255,British India: Bombay and Scinde Madras,147405069.0,485550.0,303.58
as_1897,1896,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,,14878,Other Foreign Countries,1389.0,5.0,277.8
as_1898,1895,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36857,Cape of Good Hope,13085.0,57.0,229.56
as_1895,1895,SKINS and FURS,"British: Sheep and Lambs', Undressed, without the Wool",No,5365,United States of America,265454.0,1179.0,225.15
as_1895,1895,SKINS and FURS,"British: Sheep and Lambs', Undressed, without the Wool",No,5363,United States of America : Atlantic,250574.0,1179.0,212.53
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25898,Natal,29328.0,145.0,202.26
as_1873,1873,WOOD and TIMBER,Unenumerated,,2557,British India : Bombay and Scinde Bengal and Burmah,21161930.0,106380.0,198.93
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25904,British East Indies : Bombay,27780.0,145.0,191.59
as_1872,1872,UMBRELLAS and PARASOLS,,,2511,United States: Atlantic Pacific,45939100.0,244363.0,188.0
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25969,Australasia : New Zealand,26976.0,145.0,186.04
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25914,British East Indies : Bengal,26856.0,145.0,185.21
as_1885,1885,WOOL,Sheep and Lambs' (British),,3349,United States of America:       Atlantic,414169.0,2237.0,185.14
as_1898,1898,CARRIAGES,"Railway Carriages for Passengers, and parts thereof",Railway Waggons,8482,British East Indies : Bombay,238132.0,1425.0,167.11
as_1872,1872,"TIN, Unwrought",,Cwts,2487,United States: Atlantic Pacific,140977966.0,851082.0,165.65
as_1897,1896,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,,14873,Germany,820.0,5.0,164.0
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25954,Australasia : New South Wales,23509.0,145.0,162.13
as_1898,1898,"BRASS, AND MANUFACTURES OF, not being Ordnance",East Africa,,6643,Mauritius and Dependencies,1936.0,12.0,161.33
as_1898,1898,CARRIAGES,"Railway Carriages for Passengers, and parts thereof",Railway Waggons,8492,British East Indies : Bengal,219920.0,1425.0,154.33
as_1898,1898,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36865,Natal,3981.0,31.0,128.42
as_1897,1897,Woollen and Worsted Manufactures,,,49744,"Worsted Coatings and Stuffs . . . . . "" """,69825800.0,573044.0,121.85
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25949,Australasia : Victoria,16225.0,145.0,111.9
as_1897,1894,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25970,Australasia : New Zealand,27186.0,247.0,110.06
as_1897,1896,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25917,British East Indies : Bengal,37302.0,344.0,108.44
as_1897,1895,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25916,British East Indies : Bengal,38507.0,364.0,105.79
as_1897,1896,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25907,British East Indies : Bombay,36201.0,344.0,105.24
as_1885,1885,WOOL,Sheep and Lambs' (British),,3345,Germany,230431.0,2237.0,103.01
as_1879,1879,CORN and GRAIN,Malt,,554,Australia,236284.0,2415.0,97.84
as_1897,1894,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25915,British East Indies : Bengal,23171.0,247.0,93.81
as_1897,1894,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25955,Australasia : New South Wales,21525.0,247.0,87.15
as_1897,1896,ALKALI,,Cwts,59,Spain,107250.0,1248.0,85.94
as_1898,1896,ALKALI,,Cwts,58,Spain,107250.0,1248.0,85.94
as_1889,1889,PLATE,RAGS (except Woollen) and other Materials for making Paper,Tons,3857,United States of America,467657.0,5597.0,83.55
as_1897,1894,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25905,British East Indies : Bombay,20573.0,247.0,83.29
