commodity,year,dropped_country,kept_country,qty,value
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",1888,Belgium,Belgium,1029,754
Wax,1894,Zanzibar And Pemba,Eastern Coast Of Africa Zanzibar And Pemba,126,741
Wood And Timber — Oak,1883,Italy,Italy,109,737
Coffee — Raw,1896,Beungal,Bengal,145,732
"Skins : Goat, Undressed",1895,Algeric,Algeria,7300,685
"Feathers And Down — For Beds, In Beds Or Otherwise",1893,United States Of America (Atlantic),United States Of America,102,633
Coffee — Raw,1895,Beungal,Bengal,106,627
Whalebone,1897,Other Foreign Countries,Brazil,156,624
Bones For Manure (Whether Burnt Or Not),1895,United States Of America (Atlantic),United States Of America,97,619
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,United States Of America,United States Of America,18,618
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Chile,Chile,19,618
Wood And Timber — Oak,1883,Norway,Norway,393,606
Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),1893,United States Of America (Atlantic),United States Of America,350,605
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Other Countries,Other Countries,261,600
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Sweden,Sweden,15,599
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Australasia,Australasia,41,586
Galls,1895,Bombay,British East Indies,629,571
"Seeds — Unenumerated, For Expressing Oil Therefrom",1884,British,West Africa British,266,569
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Spain,Spain,13,540
Wax,1897,Mauritius And Dependencies,Mauritius,94,535
Coffee — Raw,1898,Beungal,Bengal,113,460
Wood And Timber — Teak,1874,Other Countries,Other Countries,38,460
"Iron — Manufactures Of Iron Or Steel, Unenumerated",1886,British Possessions In Southafrica,British Possessions In South Africa,353,431
Cotton — Raw,1895,Russia (Northern Ports),Russia,231,425
Bones For Manure (Whether Burnt Or Not),1897,United States Of America (Atlantic),United States Of America,80,419
Wood And Timber — Teak,1878,Straits Settlements,Straits Settlements,64,400
Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),1896,United States Of America (Atlantic),United States Of America,239,370
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Egypt,Egypt,5220,356
"Woollen Yarn — For Fancy Purposes, Including Berlin Wool And Zephyr Yarn",1894,France,Other Foreign Countries,2716,342
Wax,1896,Portuguese Possessions,Eastern Coast Of Africa Portuguese Possessions,38,242
Wax,1895,Mauritius And Dependencies,Mauritius,45,232
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1894,Egypt,Egypt,2450,213
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,China,China,1,200
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1894,Morocco,Morocco,2414,174
Wax,1894,Portuguese Possessions,Eastern Coast Of Africa Portuguese Possessions,29,167
Wax,1896,Mauritius And Dependencies,Mauritius,30,127
Rosin,1883,Germany,Belgium,330,100
Phosphate Of Lime And Rock,1893,Other British Possessions,Other British Possessions,6,22
"Sugar — Unrefined : Cane, And Other Sorts",1884,Belgium,Belgium,9,9
