reldiff,volume,group,article,year,country_sum,t1_value,tier,n_cells
0.00183,as_1899,"STATIONERY, other than PAPER, including Ink",,1899,252518.0,252982.0,A,10
0.00186,as_1898,"VARNISH, not containing Spirit",,1895,27857.0,27909.0,A,8
0.00203,as_1880,LINEN,MANUFACTURES,1880,246781.0,246281.0,B,8
0.00212,as_1894,MUSICAL INSTRUMENTS,,1894,940989.0,942989.0,A,11
0.00232,as_1874,EMBROIDERY and NEEDLEWORK,,1874,86079.0,86279.0,A,6
0.00295,as_1892,"WATCHES, and Parts thereof",,1892,740191.0,742382.0,A,7
0.00297,as_1892,LEATHER MANUFACTURES,Unenumerated,1892,365579.0,366669.0,B,9
0.00305,as_1894,VARNISH,Not containing Spirit,1894,30732.0,30826.0,A,8
0.00306,as_1899,FRUIT,"Nuts, used as Fruit",1899,600486.0,598653.0,B,23
0.00318,as_1872,CHEMICAL MANUFACTURES and PRODUCTS,,1872,940719.0,943722.0,A,11
0.00319,as_1899,"STATIONERY, other than PAPER, including Ink",,1896,187179.0,187778.0,A,10
0.00321,as_1899,"STATIONERY, other than PAPER, including Ink",,1895,161349.0,161869.0,A,10
0.00337,as_1898,"VARNISH, not containing Spirit",,1896,33140.0,33252.0,A,8
0.00338,as_1882,"FLOWERS, ARTIFICIAL",,1882,499241.0,500934.0,A,4
0.00344,as_1898,"VARNISH, not containing Spirit",,1894,30720.0,30826.0,A,8
0.00347,as_1896,SKINS and FURS.,"Manufactures of, including Rugs",1896,772040.0,774726.0,B,11
0.00410,as_1893,LINEN,Manufactures,1893,358355.0,359829.0,C,9
0.00455,as_1896,LEATHER MANUFACTURES,Unenumerated,1896,437925.0,439927.0,C,9
0.00460,as_1898,"VARNISH, not containing Spirit",,1898,45445.0,45655.0,A,8
0.00468,as_1899,"VEGETABLES, raw, unenumerated",,1897,1449888.0,1456701.0,A,16
0.00487,as_1896,PAINTERS' COLOURS AND PIGMENTS,,1896,985301.0,990127.0,A,18
0.00548,as_1899,FRUIT,"Nuts, used as Fruit",1895,544882.0,547882.0,A,24
0.00552,as_1893,"ART, WORKS of, other than PICTURES",,1893,72983.0,73388.0,C,10
0.00594,as_1898,TOYS,,1897,1062600.0,1068953.0,A,10
0.00598,as_1899,FRUIT,"Nuts, used as Fruit",1897,498356.0,501356.0,A,22
0.00648,as_1887,EMBROIDERY and NEEDLEWORK,,1887,229084.0,230577.0,A,12
0.00652,as_1881,EMBROIDERY and NEEDLEWORK,,1881,45724.0,46024.0,A,6
0.00661,as_1895,"CLOCKS, and PARTS THEREOF",,1895,471420.0,474556.0,A,9
0.00665,as_1896,"ART, WORKS of, other than PICTURES",,1896,104837.0,105539.0,B,9
0.00725,as_1899,"WATCHES, and parts thereof",,1895,822143.0,828143.0,A,7
0.00727,as_1899,"FLOWERS, ARTIFICIAL",,1895,409559.0,412559.0,A,7
0.00741,as_1893,EMBROIDERY and NEEDLEWORK,,1893,491101.0,494768.0,A,10
0.00757,as_1889,SHELLS of all kinds,,1889,384454.0,387387.0,A,20
0.00770,as_1885,"VEGETABLES, Raw ; Unenumerated",,1885,470887.0,467287.0,A,16
0.00801,as_1894,"POULTRY and GAME, alive or dead",,1894,484737.0,480884.0,A,12
0.00845,as_1899,"MATCHES, Safety and Other Sorts",,1896,352454.0,355457.0,A,9
0.00883,as_1892,"VEGETABLES, Raw: Unenumerated",,1892,1025250.0,1016280.0,A,19
0.00896,as_1886,PAINTERS' COLOURS AND PIGMENTS,,1886,771056.0,778027.0,A,11
0.00904,as_1899,"VEGETABLES, raw, unenumerated",,1896,1273135.0,1284753.0,A,16
0.00929,as_1893,"CLOCKS, and PARTS THEREOF",,1893,415105.0,418996.0,A,9
0.01071,as_1894,"CORDAGE, TWINE, and CABLE YARN",,1894,565969.0,559969.0,A,17
0.01072,as_1894,"ART, WORKS of, other than PICTURES",,1894,74457.0,75264.0,B,9
0.01080,as_1887,SHELLS of all kinds,,1887,300403.0,303682.0,A,21
0.01140,as_1899,"STATIONERY, other than PAPER, including Ink",,1897,208824.0,211232.0,A,10
0.01147,as_1879,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1879,258611.0,261611.0,B,7
0.01207,as_1894,SILK,"Ribbons, Silk or Satin",1894,2609471.0,2641348.0,B,7
0.01237,as_1889,"CLOCKS, and PARTS THEREOF",,1889,460177.0,454556.0,B,6
0.01265,as_1899,"PLANTS, SHRUBS, TREES, AND FLOWER ROOTS",,1899,438943.0,444566.0,B,16
0.01268,as_1892,"CLOCKS, and PARTS THEREOF",,1892,467662.0,461806.0,A,9
0.01310,as_1883,CHEMICAL MANUFACTURES and PRODUCTS. Unenumerated,,1883,1529626.0,1549929.0,A,19
