gold_commodity,year,gold_world,unit,status,best_tier1_match
Fish Fresh Not of British Taking,1886,853917,CWTS (Hundredweights),off (1.17x),"Beef, Salted and Fresh"
Fish Fresh Not of British Taking,1891,195736,CWTS (Hundredweights),off (0.58x),"Meat, Unenumerated ; Salted or Fresh"
Flax Dressed,1866,35467,CWTS (Hundredweights),scope (28.23x),"Hemp, Dressed and Undressed"
Flax Dressed,1871,130586,CWTS (Hundredweights),scope (9.92x),"Hemp, Dressed and Undressed"
Flax Dressed,1876,23487,CWTS (Hundredweights),scope (50.02x),"Hemp, Dressed and Undressed, and Tow"
Flax Dressed,1881,11845,CWTS (Hundredweights),scope (124.98x),"Hemp, Dressed and Undressed, and Tow"
Flax Dressed or Undressed,1886,1002381,CWTS (Hundredweights),off (1.21x),"Hemp, Dressed and Undressed, and Tow - Cwts."
Flax Dressed or Undressed,1891,1473135,CWTS (Hundredweights),off (1.49x),Seeds Flax and Linseed
Flax Rough or Undressed,1866,1242024,CWTS (Hundredweights),off (0.93x),Flax and Linseed
Flax Rough or Undressed,1871,2011896,CWTS (Hundredweights),off (1.29x),"Flax, Dressed and Undressed"
Flax Rough or Undressed,1876,1080772,CWTS (Hundredweights),off (1.09x),"Hemp, Dressed and Undressed, and Tow"
Flax Rough or Undressed,1881,1398332,CWTS (Hundredweights),off (1.06x),"Hemp, Dressed and Undressed, and Tow"
Flax Seeds,1866,56116,Qrs. (Quarters),scope (20.65x),Flax and Linseed
Flax Tow or Codilla of Flax,1866,270107,CWTS (Hundredweights),scope (4.29x),Flax and Linseed
Flint Glass,1871,65985,CWTS (Hundredweights),scope (9.54x),Glass of all Kinds
Flint Glass,1876,123840,CWTS (Hundredweights),off (1.61x),Glass Guano
Flint Glass,1881,73908,CWTS (Hundredweights),scope (17.36x),"Glass, of all Kinds"
Flint Glass Cut Coloured or Ornamental,1866,31576,CWTS (Hundredweights),scope (12.32x),"Glass of all Kinds (except Bottles of Green or Common } (Glass) - """
Flint Glass Plain including Bottles,1866,28972,CWTS (Hundredweights),off (1.13x),Cochineal (including Granilla and Dust)
Fresh Herrings,1891,671945,CWTS (Hundredweights),off (1.16x),"Meat, Unenumerated; Salted or Fresh -Preserved, otherwise than by salting -"
Fruit Dried unenumerated,1876,191774,Bushels,off (0.86x),"Yeast, Dried"
Fruit Dried unenumerated,1881,284213,Bushels,off (0.73x),"Yeast, Dried"
Fruit Dried unenumerated,1886,222556,Bushels,off (1.33x),"Yeast, Dried"
Fruit Dried unenumerated,1891,371998,Bushels,off (1.64x),Fruit Raisins
Fruit Preserved without Sugar Unenumerated,1871,2769609,Lbs. (Pounds),off (0.86x),Fruit Oranges and Lemons
Fruit Preserved without Sugar Unenumerated,1876,11989173,Lbs. (Pounds),off (1.30x),Sugar Raw
Fruit Preserved without Sugar Unenumerated,1886,20599986,Lbs. (Pounds),off (0.78x),Sugar Unrefined
Fruit Preserved without Sugar Unenumerated,1891,38182759,Lbs. (Pounds),scope (0.42x),Sugar Unrefined
Fruit Raw or otherwise not described,1866,233160,Bushels,off (0.65x),"Meat, Salted or Fresh, not otherwise described"
Fruit Raw unenumerated,1896,1427105,Bushels,off (0.69x),"Fruit, Dried or Preserved, liable to Duty Currants"
Furs,1886,20128949,Number,scope (0.42x),"Skins and Furs Skins : Sheep and Lamb, undressed"
Gambier,1866,12845,Tons,off (1.19x),Cutch and Gambier
Gambier,1871,25207,Tons,off (1.21x),Dyeing or Tanning Stuffs Gutch and Gambier
Gambier,1876,21759,Tons,off (1.22x),Dyeing or Tanning Stuffs Cutch and Gambier
Gambier,1881,24064,Tons,off (1.37x),Dyeing or Tanning Stuffs Cutch and Gambier
Geldings,1891,17206,Number,no-name-match,
Ginger Preserved,1866,199357,Lbs. (Pounds),scope (0.06x),"Ginger, Raw"
Ginger Raw,1866,41127,CWTS (Hundredweights),scope (0.27x),"Ginger, Raw"
"Glass Manufactures, Unenumerated",1871,105293,CWTS (Hundredweights),off (1.64x),Manufactures
"Glass Manufactures, Unenumerated",1881,472558,CWTS (Hundredweights),off (0.82x),Metals Manufactures
"Glass Manufactures, Unenumerated",1886,655373,CWTS (Hundredweights),off (0.77x),Skins and Furs Manufactures of
"Glass Plate, whether Silvered or not",1871,37900,CWTS (Hundredweights),scope (16.61x),Glass of all Kinds
"Glass Plate, whether Silvered or not",1876,64738,CWTS (Hundredweights),scope (3.08x),Glass Guano
"Glass Plate, whether Silvered or not",1881,78544,CWTS (Hundredweights),scope (16.34x),"Glass, of all Kinds"
"Glass Plate, whether Silvered or not",1886,87831,CWTS (Hundredweights),scope (16.75x),"Glass, of all Kinds"
"Glass Plate, whether Silvered or not",1891,175793,CWTS (Hundredweights),scope (13.45x),"Glass, of all Kinds"
Gold Leave,1871,22286388,Number,no-name-match,
Gold Leave,1876,57136140,Number,no-name-match,
Gold Leave,1881,68061000,Number,no-name-match,
Gold Leave,1886,80016815,Number,no-name-match,
Gold Leave,1891,89634100,Number,no-name-match,
Grapes,1866,69553,Bushels,no-name-match,
Gum Animi,1866,3036,CWTS (Hundredweights),off (1.62x),"Of certain Kinds used for Shipbuilding; viz.,Greenheart, Red and Blue Gum, &amp;c."
Gum Benzoin,1866,1913,CWTS (Hundredweights),scope (2.58x),"Of certain Kinds used for Shipbuilding; viz.,Greenheart, Red and Blue Gum, &amp;c."
Gum Copal,1866,12941,CWTS (Hundredweights),off (1.23x),Gum: Animi and Copal
Gum Kowrie,1866,41428,CWTS (Hundredweights),scope (0.39x),Gum: Animi and Copal
Gum Lac,1866,10315,CWTS (Hundredweights),off (1.55x),Gum: Animi and Copal
