commodity,gbp,destination_score,n_cells,unit,top_origins
"Meat, Unenumerated — Preserved : Mutton",154818,0.513,10,Cwt,United States Of America | Other Foreign Countries | New South Wales | Queensland | New Zealand
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",750040033,0.507,17,?,Holland | Belgium | France | China | United States Of America (Atlantic)
"Arms And Ammunition — Rockets And Other Combustibles Of War, &C., And Ammunition, Unenumerated",0,0.506,8,?,Other Countries | Holland | British Possession In South Africa | British Possessions In South Africa | Australasia
Eggs — British East-Indies,150492,0.505,45,?,Bombay | Madras | Bengal | Straits Settlements | Ceylon
"Wood And Timber — Rough, Hewn, Sawn, Or Split",173038,0.502,18,?,Other Countries | Western Africa (Foreign | Australia | Spain | British Possessions In South Africa
Tea — British Indies,4413712,0.501,9,?,Bombay | Madras | Bengal | Burmah | Straits Settlements
Cotton Manufactures — From British East Indies,155280,0.501,4,?,Madras
Cotton Manufactures — Lace And Patent Net,0,0.499,137,?,Italy | Brazil | Spain And Canaries | Canada | Other Countries
Sugar — Unrefined Of All Kinds,127577703,0.494,180,Cwt,Germany | Holland | Belgium | France | Egypt
"Skins, Furs, And Pelts — From British Possessions In South Africa",243536,0.493,5,?,Aden | Cape Of Good Hope | Natal | British Possessions In South Africa
"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Other Descriptions",0,0.492,177,?,Germany | Holland | Belgium | Italy | Egypt
"Coals, Gulm. And Cinders",17378,0.491,5,Ton,United States Of America | Brazil | Other Foreign Countries | New South Wales | Australasia
"Paper — Writing Or Printing, And Envelopes",3865381,0.49,76,?,British Possessions In South Africa | Madras | Bengal And Burmah | Canada | Bombay
Linen And Jute Manufactures — Luoifer And Vesta Matches,0,0.476,17,?,China | Chili | Brazil | Channel Islands | Straits Settlements
Woollen And Worsted Manufactures — Shawls,4214488,0.466,111,?,British Possessions In South Africa | United States Of America (Atlantic) | United States Of America | Argentine Republic | Canada
Corn And Grain — Maize Or Indian Cornmeal,1869961,0.463,19,Cwt,Other Foreign Countries | United States Of America | United States Of America (Atlantic)
"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",51538661,0.462,46,?,Germany | Egypt | Holland | Sweden And Norway | Denmark
"Quicksilver — Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",1786051,0.459,28,?,"Other Countries | Germany | Belgium | France | Portugal, Azores, And Madeira"
Corn And Grain — From Australasia,52814,0.454,17,?,South Australia | Australasia | Victoria | New Zealand | Other British Possessions
Cheese — From Australasia,283531,0.453,7,?,Victoria | New Zealand | Australasia | New South Wales
"Mutton, Fresh — From Australasia",4312562,0.447,23,?,Falkland Islands | Australasia | New South Wales | Victoria | New Zealand
"Saddlery And Harness — Saltpetre, British Prepared",104559,0.436,13,?,"Portugal, Azores, And Madeira | Spain | Italy | Austrian Territories | Greece"
Cotton Manufactures,62136,0.435,6,Pieces,Piece Goods Of India And China | Egypt | British India | French India | United States Of America (Atlantic)
Linen Manufactures — Lucifers And Vesta Matches,0,0.433,6,?,Channel Islands | Bengal And Burmah | Straits Settlements | Hong Kong | Australasia
Painters' Colours And Materials — Unenumerated,0,0.432,129,?,Sweden And Norway | Germany | Holland | Belgium | France
