commodity,year,unit,drop_country,country_qty,excess,match,ratio_now,ratio_after,n_countries,gbp_per_year
Books,1886,Cwt,British Possessions,477,477,0.0,1.01868,1.0,11,209059
Books,1887,Cwt,British Possessions,1023,1023,0.0,1.03913,1.0,10,209059
Books,1896,Cwt,Sweden,331,331,0.0,1.00755,1.0,10,209059
China And Porcelain Ware,1874,Cwt,Italy,86,98,0.12245,1.00234,1.00029,9,205654
"Manganese, Ore Of",1895,Ton,Sweden,3425,3544,0.03358,1.02695,1.0009,17,203823
Snuff,1894,Lb,Other Foreign Countries,8,8,0.0,1.00301,1.0,3,198402
"Garden, Unenumerated",1894,Lb,Other Foreign Countries,16383,15348,0.06318,1.00421,0.99972,13,188797
Plumbago,1893,Ton,Other British East Indian Possessions,98,93,0.05102,1.00857,0.99954,13,182946
Plumbago,1894,Ton,Other British East Indian Possessions,76,73,0.03947,1.00516,0.99979,12,182946
Plumbago,1895,Ton,Other British Possessions,315,314,0.00317,1.03031,0.9999,9,182946
Plumbago,1899,Ton,Other Foreign Countries,89,90,0.01111,1.00514,1.00006,9,182946
"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",1896,Lb,Other Foreign Countries,9849,10376,0.05079,1.00934,1.00047,18,181926
Cavendish Or Negrohead,1895,Lb,Other British Possessions,3940,3695,0.06218,1.00341,0.99977,7,180908
"Sauces Or Condiments, Unenumerated",1896,Lb,Other Foreign Countries,44923,46460,0.03308,1.01027,1.00034,17,174036
Horse,1894,Cwt,New Zealand,324,322,0.00617,1.01648,0.9999,22,172314
Horse,1895,Cwt,Canada,132,133,0.00752,1.00391,1.00003,22,172314
Cork — Unmanufactured,1896,Ton,Germany,109,109,0.0,1.00444,1.0,10,168727
Gunpowder,1894,Cwt,Denmark,23,23,0.0,1.01161,1.0,6,160827
Gunpowder,1895,Cwt,Other Foreign Countries,13,13,0.0,1.01173,1.0,5,160827
"Old, Fit Only To Be Re-Manufactured",1894,Ton,British Guiana,11,8,0.27273,1.00247,0.99908,21,158874
Gum — Arabic,1893,Cwt,British Possessions In South Africa,361,376,0.03989,1.00572,1.00023,16,158130
Moss Litter,1896,Ton,Belgium,482,482,0.0,1.00486,1.0,4,149082
Buckwheat,1893,Cwt,Holland,394,394,0.0,1.00367,1.0,5,135642
"Plate — Of Silver, Gilt Or Ungilt",1893,Oz Troy,Other Foreign Countries,1575,1641,0.04022,1.02278,1.00092,10,134116
"Plate — Of Silver, Gilt Or Ungilt",1895,Oz Troy,Australasia,195,145,0.25641,1.00205,0.99929,9,134116
Wax,1885,Cwt,Italy,668,632,0.05389,1.0165,0.99906,19,121508
Wax,1893,Cwt,Belgium,178,175,0.01685,1.00508,0.99991,29,121508
Yarn And Waste Of,1880,Lb,All Countries,76196,76196,0.0,1.01572,1.0,4,120856
Yarn And Waste Of,1881,Lb,All Countries,142574,142574,0.0,1.06152,1.0,3,120856
Dye Woods — Unenumerated,1893,Ton,Madras,1218,1199,0.0156,1.05694,0.9991,24,120785
"Horns, Tips, And Pieces Of Horn, And Hoofs",1900,Ton,Cape Of Good Hope,67,66,0.01493,1.01058,0.99984,30,116892
"Animals, Living — Swine",1895,Number,Other Foreign Countries,2,2,0.0,1.00623,1.0,4,112670
"Hair — Cow, Ox, Bull, Or Elk",1872,Cwt,Argentine Republic,41,100,0.59,1.00102,1.0006,8,109715
"Hair — Cow, Ox, Bull, Or Elk",1890,Cwt,Australasia,163,155,0.04908,1.00141,0.99993,12,109715
"Hair — Cow, Ox, Bull, Or Elk",1893,Cwt,Victoria,215,202,0.06047,1.00276,0.99982,17,109715
"Hair — Cow, Ox, Bull, Or Elk",1895,Cwt,Other Colonies,486,446,0.0823,1.00673,0.9994,20,109715
Straw,1893,Lb,Other Foreign Countries,937,1323,0.29176,1.0024,1.0007,9,106387
Isinglass,1894,Cwt,Other Foreign Countries,118,115,0.02542,1.01431,0.99963,14,103234
Isinglass,1896,Cwt,France,16,11,0.3125,1.0013,0.99941,16,103234
Steel — Unwrought,1896,Ton,Austrian Territories,62,62,0.0,1.00354,1.0,10,101813
Oil-Seed Cake — Of Other Sorts,1894,Ton,Belgium,206,207,0.00483,1.02183,1.00011,15,99159
Oil-Seed Cake — Of Other Sorts,1896,Ton,Russia,238,239,0.00418,1.04161,1.00017,13,99159
Manufactures Of Iron And Steel — Tyres And Axles,1895,Cwt,Germany,1925,1925,0.0,1.05402,1.0,6,92852
Whalebone,1895,Cwt,Newfoundland,75,75,0.0,1.0168,1.0,16,88616
Whalebone,1899,Cwt,Canada,6,9,0.33333,1.00261,1.00087,15,88616
"Animals, Living — Stallions",1895,Number,Australasia,4,4,0.0,1.00494,1.0,15,84904
"Animals, Living — Stallions",1896,Number,Australasia,10,10,0.0,1.02008,1.0,16,84904
"Animals, Living — Stallions",1898,Number,Other British Possessions,2,2,0.0,1.0029,1.0,12,84904
Alkali,1889,Cwt,Spain,65,50,0.23077,1.00105,0.99968,7,83588
Tares And Lentils,1894,Bushel,Chile,1659,2117,0.21634,1.00367,1.00079,13,81831
Beads Of All Sorts,1893,Lb,Western Coast Of Africa,7350,7340,0.00136,1.00344,1.0,10,77264
Beads Of All Sorts,1894,Lb,Western Coast Of Africa,2836,2836,0.0,1.00119,1.0,12,77264
Beads Of All Sorts,1896,Lb,Belgium,10415,9526,0.08536,1.00397,0.99963,11,77264
Beads Of All Sorts,1897,Lb,Western Coast Of Africa,13810,13810,0.0,1.00598,1.0,9,77264
Beads Of All Sorts,1898,Lb,Western Coast Of Africa,2959,3051,0.03015,1.00115,1.00003,10,77264
Galls,1900,Cwt,British East Indies,2,25,0.92,1.00105,1.00097,8,74427
Liquorice,1896,Cwt,Spain,115,115,0.0,1.00326,1.0,6,68499
Honey,1896,Cwt,Spanish West India Islands,441,441,0.0,1.02208,1.0,18,67722
Honey,1897,Cwt,Spanish West India Islands,500,500,0.0,1.0331,1.0,17,67722
