commodity,year,t1_value,origin_value,v_ratio,v_bucket,t1_qty,origin_qty,q_ratio,q_bucket,unit,n_origins,split
"Cured, Sardines",1896,518855,518855,1.0,exact01,175723,175693,0.9998,exact01,Cwt,10,
Fresh (Not Of British Taking) — Cured Or Salted; Sardines,1896,518855,0,0.0,nodata,175723,0,0.0,nodata,Cwt,0,
Bristles,1893,518757,576238,1.1108,over,3466244,3922244,1.1316,over,Lb,16,
Cordage And Twine,1884,518678,0,0.0,nodata,518678,0,0.0,nodata,Value,0,
"China, Or Porcelain, And Earthenware",1885,518496,0,0.0,nodata,146830,0,0.0,nodata,Cwt,0,
Oil — Turpentine,1888,517901,517951,1.0001,exact01,359070,359070,1.0,exact01,Cwt,5,
Oil — Seed,1880,517812,517812,1.0,exact01,16754,16724,0.9982,within5,Ton,6,
"Seed, Of All Kinds",1880,517812,0,0.0,nodata,16754,0,0.0,nodata,Ton,0,
Bristles,1872,517809,518406,1.0012,within5,3068095,3068095,1.0,exact01,Lb,6,
Pig And Puddled,1897,517656,516372,0.9975,within5,158003,157431,0.9964,within5,Ton,8,
Madder — Garancine,1868,517180,0,0.0,nodata,79612,0,0.0,nodata,Cwt,0,
Oil — Turpentine,1897,516887,53017,0.1026,under,502790,517861,1.03,within5,Cwt,5,
Dye Woods — Logwood,1896,516792,2552126,4.9384,over,76075,7086791,93.1553,over,Ton,40,
Logwood,1896,516792,0,0.0,nodata,76075,0,0.0,nodata,Ton,0,
"Meat — Salted Or Fresh, Not Otherwise Described",1881,516551,516551,1.0,exact01,178256,178256,1.0,exact01,Cwt,7,
"Meat, Salted Or Fresh",1881,516551,0,0.0,nodata,178256,0,0.0,nodata,Cwt,0,
"Lac, Seed, Shell, Stick, And Dye",1893,516016,1029699,1.9955,over,109463,218011,1.9916,over,Cwt,12,
Olive,1897,515531,0,0.0,nodata,15440,0,0.0,nodata,Ton,0,
"Teeth, Elephants', Sea Cow, And Sea Horse",1881,514264,16688677381,32451.5762,over,12377,26960337,2178.261,over,Cwt,9,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1881,514264,0,0.0,nodata,12377,0,0.0,nodata,Cwt,0,
Bristles,1897,514123,587718,1.1431,over,4007693,4601221,1.1481,over,Lb,14,
Almonds,1899,514023,0,0.0,nodata,146153,0,0.0,nodata,Cwt,0,
Nuts: Almonds,1899,514023,0,0.0,nodata,146153,0,0.0,nodata,Cwt,0,
Chemical Manufactures And Pro-Ducts,1869,513777,0,0.0,nodata,513777,0,0.0,nodata,Value,0,
For Expressing Oil Therefrom,1878,513507,0,0.0,nodata,32557,0,0.0,nodata,Ton,0,
Clocks,1877,513387,513387,1.0,exact01,687271,687271,1.0,exact01,Number,6,
Unenumerated — Raw,1895,513261,0,0.0,nodata,1249563,0,0.0,nodata,Bushel,0,
"Unenumerated, Viz. : Raw",1895,513261,0,0.0,nodata,1249563,0,0.0,nodata,Bushel,0,
"Staves, Of All Dimensions",1893,512866,0,0.0,nodata,131708,0,0.0,nodata,Load,0,
Slates,1893,512811,1427529,2.7837,over,131708,0,0.0,nodata,Load,54,
Watches,1878,512468,0,0.0,nodata,512468,0,0.0,nodata,Value,0,
"Clocks, And Parts Thereof",1890,512419,0,0.0,nodata,512419,0,0.0,nodata,Value,0,
"House Frames, &Amp;C.",1888,511952,0,0.0,nodata,511952,0,0.0,nodata,Value,0,
Lace,1870,511921,0,0.0,nodata,511921,0,0.0,nodata,Value,0,
Unenumerated — Raw,1868,511915,0,0.0,nodata,337631,0,0.0,nodata,Bushel,0,
Nuts And Kernels — Of Other Sorts,1873,511910,0,0.0,nodata,511910,0,0.0,nodata,Value,0,
For Expressing Oil Therefrom,1875,511261,0,0.0,nodata,36745,0,0.0,nodata,Ton,0,
Watches,1883,511188,511188,1.0,exact01,511188,0,0.0,nodata,Value,10,
Cutch And Gambier,1871,511095,0,0.0,nodata,30546,0,0.0,nodata,Ton,0,
Boots And Shoes,1898,510873,449856,0.8806,under,182261,181967,0.9984,within5,Dozen Pairs,6,
"Zinc — Crude, In Cakes",1875,510827,510827,1.0,exact01,22638,22638,1.0,exact01,Ton,6,
"Flowers, Artificial",1875,510800,0,0.0,nodata,510800,0,0.0,nodata,Value,0,
"Of Other Sorts (Including ""Nuts, For Fruit"")",1880,510277,0,0.0,nodata,510277,0,0.0,nodata,Value,0,
Dyes Obtained From Coal Tar,1886,509750,0,0.0,nodata,509750,0,0.0,nodata,Value,0,
Cochineal (Including Granilla And Dust),1872,509605,509605,1.0,exact01,39132,39102,0.9992,exact01,Cwt,8,
Lace,1876,509323,0,0.0,nodata,509323,0,0.0,nodata,Value,0,
Oil — Seed,1879,508975,505945,0.994,within5,15805,15865,1.0038,within5,Ton,6,
"Seed, Of All Kinds",1879,508975,0,0.0,nodata,15865,0,0.0,nodata,Ton,0,
Seeds — Clover And Grass,1900,508913,0,0.0,nodata,261957,0,0.0,nodata,Cwt,0,
For Expressing Oil Therefrom,1881,508906,0,0.0,nodata,38173,0,0.0,nodata,Ton,0,
"Lac, Seed, Shell, Stick, And Dye",1882,508357,508357,1.0,exact01,112025,112025,1.0,exact01,Cwt,3,
"Yeast, Dried",1879,508158,508158,1.0,exact01,194726,194726,1.0,exact01,Cwt,5,
Skins And Furs — Manufactures Of,1886,507750,0,0.0,nodata,507750,0,0.0,nodata,Value,0,
Quicksilver,1891,507503,507503,1.0,exact01,4707804,4707804,1.0,exact01,Lb,4,
"Teeth, Elephants', Sea Cow, And Sea Horse",1869,507319,0,0.0,nodata,14599,0,0.0,nodata,Cwt,0,
"Silk — Knubs Or Husks Of Silk, And Waste",1895,506940,685394,1.352,over,56435,75966,1.3461,over,Cwt,19,
Cordage And Twine,1886,506781,0,0.0,nodata,506781,0,0.0,nodata,Value,0,
Onions — Raw,1886,506710,506612,0.9998,exact01,3633587,3633087,0.9999,exact01,Bushel,9,
Seeds — Rape,1886,506684,506684,1.0,exact01,372318,372310,1.0,exact01,Quarter,10,
"Teeth, Elephants', Sea Cow, And Sea Horse",1873,506629,339369,0.6699,under,13385,9008,0.673,under,Cwt,6,
"Skins, Furs, And Pelts — Seal",1887,506323,506323,1.0,exact01,604183,601186,0.995,within5,Number,14,
"Clocks, And Parts Thereof",1891,506092,0,0.0,nodata,506092,0,0.0,nodata,Value,0,
Spirits — Rum,1887,505982,538380,1.064,over,6362070,6589972,1.0358,within5,Proof Gallon,24,
Oatmeal And Groats,1899,505464,505414,0.9999,exact01,789810,789810,1.0,exact01,Cwt,4,
"Skins, Furs, And Pelts — Seal",1892,504819,510792,1.0118,within5,724329,728480,1.0057,within5,Number,16,
"Furs, Seal",1892,504819,0,0.0,nodata,724329,0,0.0,nodata,Number,0,
Dyes Obtained From Coal Tar,1893,504318,0,0.0,nodata,504318,0,0.0,nodata,Value,0,
Watches,1877,504164,0,0.0,nodata,504164,0,0.0,nodata,Value,0,
"Iron And Steel, Wrought Or Manufactured",1868,503714,0,0.0,nodata,242091,0,0.0,nodata,Cwt,0,
"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured",1899,503103,503205,1.0002,exact01,5152640,5152610,1.0,exact01,Lb,7,
Gutta Percha,1881,502906,0,0.0,nodata,68445,0,0.0,nodata,Cwt,0,
Manures — Phosphate Of Lime And Rock,1898,502422,506529,1.0082,within5,330610,392039,1.1858,over,Ton,19,
Phosphate Of Lime And Rock,1898,502422,502386,0.9999,exact01,330610,332142,1.0046,within5,Ton,19,
Madder — Garancine,1869,502372,0,0.0,nodata,30510,0,0.0,nodata,Cwt,0,
Cordage And Twine,1893,502145,0,0.0,nodata,502145,0,0.0,nodata,Value,0,
Yarn,1891,501899,505319,1.0068,within5,3021391,9485860,3.1396,over,Lb,7,
"Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",1892,501807,501807,1.0,exact01,25232,25232,1.0,exact01,Ton,15,
Valonia,1890,501669,0,0.0,nodata,25272,0,0.0,nodata,Ton,0,
Mahogany,1892,501213,0,0.0,nodata,56315,0,0.0,nodata,Ton,0,
Spices — Unenumerated,1883,501133,501133,1.0,exact01,18378581,18378551,1.0,exact01,Lb,15,
Poultry And Game (Including Rabbits),1882,501008,0,0.0,nodata,501008,0,0.0,nodata,Value,0,
Poultry And Game,1882,501008,0,0.0,nodata,501008,0,0.0,nodata,Value,0,
"Flowers, Artificial",1882,500934,0,0.0,nodata,500934,0,0.0,nodata,Value,0,
Other Farinaceous Substances,1877,500077,0,0.0,nodata,500077,0,0.0,nodata,Value,0,
Silver Ore,1876,499775,0,0.0,nodata,499775,0,0.0,nodata,Value,0,
Spices — Pepper,1877,499254,499254,1.0,exact01,28643635,28643635,1.0,exact01,Lb,4,
Strawboard Or Millboard,1897,498914,0,0.0,nodata,1482062,0,0.0,nodata,Cwt,0,
Linen Yarn,1886,498824,498824,1.0,exact01,12424610,12424610,1.0,exact01,Lb,5,
Bristles,1891,498398,554196,1.112,over,3413475,3806844,1.1152,over,Lb,14,
Oil — Turpentine,1881,498195,498195,1.0,exact01,285492,285492,1.0,exact01,Cwt,2,
Poultry And Game,1890,497857,0,0.0,nodata,497857,0,0.0,nodata,Value,0,
Plums — Raw,1897,497783,495993,0.9964,within5,1043819,1042891,0.9991,exact01,Bushel,6,
Plums,1897,497783,0,0.0,nodata,1043819,0,0.0,nodata,Bushel,0,
"Flowers, Artificial",1881,497644,0,0.0,nodata,497644,0,0.0,nodata,Value,0,
Gutta Percha — Raw,1870,496951,0,0.0,nodata,34514,0,0.0,nodata,Cwt,0,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1885,496558,0,0.0,nodata,9896,0,0.0,nodata,Cwt,0,
"Iron And Steel, Wrought Or Manufactured",1869,495404,0,0.0,nodata,390684,0,0.0,nodata,Cwt,0,
Grapes — Raw,1897,495017,503691,1.0175,within5,993713,1004884,1.0112,within5,Bushel,12,
Grapes,1897,495017,0,0.0,nodata,993713,0,0.0,nodata,Bushel,0,
Embroidery And Needlework,1893,494768,0,0.0,nodata,494768,0,0.0,nodata,Value,0,
Bones Of All Kinds (Except Whalefins),1891,494271,0,0.0,nodata,92773,0,0.0,nodata,Ton,0,
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,1883,494110,0,0.0,nodata,50158,0,0.0,nodata,Ton,0,
"Copper, Ore Of",1894,493625,660427,1.3379,over,82805,99425,1.2007,over,Ton,24,
Other Kinds Of Meal And Flour,1883,493549,0,0.0,nodata,1211416,0,0.0,nodata,Cwt,0,
Still,1898,493096,0,0.0,nodata,911179,0,0.0,nodata,?,0,
Boots And Shoes,1897,493009,487448,0.9887,within5,174662,174497,0.9991,exact01,Dozen Pairs,6,
Cochineal (Including Granilla And Dust),1875,492976,492976,1.0,exact01,40941,40941,1.0,exact01,Cwt,6,
"Zinc — Crude, In Cakes",1874,492914,492914,1.0,exact01,22193,22193,1.0,exact01,Ton,6,
Yarn,1885,492492,492492,1.0,exact01,8085237,8362281,1.0343,within5,Lb,8,
Onions — Raw,1885,492328,491428,0.9982,within5,3537616,3537616,1.0,exact01,Bushel,11,
Manures — Phosphate Of Lime And Rock,1897,491813,494759,1.006,within5,324788,326226,1.0044,within5,Ton,22,
Phosphate Of Lime And Rock,1897,491813,498722,1.014,within5,324788,326468,1.0052,within5,Ton,24,
"Silk — Knubs Or Husks Of Silk, And Waste",1870,491605,0,0.0,nodata,31360,0,0.0,nodata,Cwt,0,
Yeast,1895,491351,491351,1.0,exact01,192579,192519,0.9997,exact01,Cwt,6,
Manures — Guano,1881,491327,491327,1.0,exact01,50505,50475,0.9994,exact01,Ton,6,
"Skins, Furs, And Pelts — Seal",1895,490720,498511,1.0159,within5,663719,677016,1.02,within5,Number,25,
"Furs, Seal",1895,490720,0,0.0,nodata,663719,0,0.0,nodata,Number,0,
Seal Skins,1895,490720,0,0.0,nodata,663719,0,0.0,nodata,Number,0,
"Meat — Salted Or Fresh, Not Otherwise Described",1895,490650,509686,1.0388,within5,237468,244491,1.0296,within5,Cwt,14,
"Lac, Seed, Shell, Stick, And Dye",1883,490428,497428,1.0143,within5,115427,115427,1.0,exact01,Cwt,7,
Oil — Turpentine,1896,490381,492422,1.0042,within5,498791,500601,1.0036,within5,Cwt,5,
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,1877,489455,501963,1.0256,within5,53600,55235,1.0305,within5,Ton,9,
"Manufactured, Cigars And Snuff",1870,488913,0,0.0,nodata,3235215,0,0.0,nodata,Lb,0,
Coco Nut,1868,488463,0,0.0,nodata,194752,0,0.0,nodata,Cwt,0,
"House Frames, &Amp;C.",1887,488434,0,0.0,nodata,488434,0,0.0,nodata,Value,0,
Rags And Other Materials For Making Paper — Linen And Cotton,1884,487866,487866,1.0,exact01,36233,36233,1.0,exact01,Ton,15,
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,1885,487751,0,0.0,nodata,56053,0,0.0,nodata,Ton,0,
Mahogany,1885,487751,0,0.0,nodata,56058,0,0.0,nodata,Ton,0,
"Drugs, Unenumerated",1878,487590,0,0.0,nodata,487590,0,0.0,nodata,Value,0,
Dyes Obtained From Coal Tar,1885,487459,0,0.0,nodata,487459,0,0.0,nodata,Value,0,
Grapes — Raw,1895,486981,494639,1.0157,within5,865287,875698,1.012,within5,Bushel,12,
Grapes,1895,486981,0,0.0,nodata,865287,0,0.0,nodata,Bushel,0,
Logwood,1894,486368,0,0.0,nodata,68457,0,0.0,nodata,Ton,0,
"Copper, Ore Of",1893,486022,652010,1.3415,over,89898,96004,1.0679,over,Ton,26,
Spirits — Rum,1881,485685,485685,1.0,exact01,4816887,4816887,1.0,exact01,Proof Gallon,4,
"Buttons And Studs, Not Of Metal",1881,485661,0,0.0,nodata,0,0,,noanchor,Gross,0,
Confectionery,1880,485456,485456,1.0,exact01,174950,174650,0.9983,within5,Cwt,7,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1884,485367,0,0.0,nodata,10100,0,0.0,nodata,Cwt,0,
"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",1897,484504,0,0.0,nodata,75910,0,0.0,nodata,Ton,0,
Other Farinaceous Substances,1875,484230,0,0.0,nodata,484230,0,0.0,nodata,Value,0,
Valonia,1883,484228,0,0.0,nodata,30468,0,0.0,nodata,Ton,0,
Watches,1882,484192,484192,1.0,exact01,385506,0,0.0,nodata,Value,4,
Opium,1870,484138,0,0.0,nodata,371665,0,0.0,nodata,Lb,0,
Valonia,1886,483911,0,0.0,nodata,34227,0,0.0,nodata,Ton,0,
"Wool — Alpaca, Vicuña, And Llama",1871,483733,0,0.0,nodata,3651250,0,0.0,nodata,Lb,0,
Furniture Woods And Hardwoods — Unenumerated,1888,483622,0,0.0,nodata,63512,0,0.0,nodata,Ton,0,
Potatoes,1868,483616,0,0.0,nodata,2041436,0,0.0,nodata,Cwt,0,
Yarn,1882,483465,523346,1.0825,over,1408069,10198546,7.2429,over,Lb,5,
Sugar — Glucose,1889,483321,483321,1.0,exact01,728868,728868,1.0,exact01,Cwt,5,
Embroidery And Needlework,1892,483014,0,0.0,nodata,483014,0,0.0,nodata,Value,0,
Rum,1900,482132,0,0.0,nodata,6195616,0,0.0,nodata,Proof Gallon,0,
Preserved Otherwise Than By Salting — Other Sorts,1894,482038,0,0.0,nodata,159382,0,0.0,nodata,?,0,
"Drugs, Unenumerated",1877,481501,0,0.0,nodata,481501,0,0.0,nodata,Value,0,
Clocks,1881,481450,481326,0.9997,exact01,863965,863825,0.9998,exact01,Number,5,
Spices — Unenumerated,1882,481090,470743,0.9785,within5,17332043,16838115,0.9715,within5,Lb,7,
Poultry And Game,1894,480884,0,0.0,nodata,480884,0,0.0,nodata,Value,0,
Leather Manufactures — Boots And Shoes,1879,479498,0,0.0,nodata,127504,0,0.0,nodata,Dozen Pairs,0,
Boots And Shoes,1879,479498,479498,1.0,exact01,127504,127504,1.0,exact01,Dozen Pairs,6,
"Silk — Knubs Or Husks Of Silk, And Waste",1879,479399,479369,0.9999,exact01,38268,38268,1.0,exact01,Cwt,6,
Gutta Percha — Raw,1873,479316,479316,1.0,exact01,54898,54898,1.0,exact01,Cwt,6,
Cochineal (Including Granilla And Dust),1874,478761,478761,1.0,exact01,39393,39393,1.0,exact01,Cwt,7,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1887,477980,0,0.0,nodata,10665,0,0.0,nodata,Cwt,0,
"Train Or Blubber, And Spermaceti",1880,477357,0,0.0,nodata,15231,0,0.0,nodata,Ton,0,
"Oil — Train Or Blubber, And Sperm",1880,477357,0,0.0,nodata,15231,0,0.0,nodata,Ton,0,
Mahogany,1896,477265,0,0.0,nodata,53772,0,0.0,nodata,Ton,0,
Furniture Wood: Mahogany,1896,477265,0,0.0,nodata,53772,0,0.0,nodata,Ton,0,
"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",1893,477001,277531,0.5818,under,10018,5954,0.5943,under,Cwt,11,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1893,477001,0,0.0,nodata,10018,0,0.0,nodata,Cwt,0,
Gutta Percha,1883,476881,476881,1.0,exact01,63800,63800,1.0,exact01,Cwt,6,
Oil — Seed,1882,476807,477507,1.0015,within5,14507,14507,1.0,exact01,Ton,7,
Seed,1882,476807,0,0.0,nodata,14507,0,0.0,nodata,Ton,0,
"Copper, Ore Of",1897,476626,675311,1.4169,over,82595,98407,1.1914,over,Ton,24,
Cutch And Gambier,1879,476383,0,0.0,nodata,25634,0,0.0,nodata,Ton,0,
"Wool — Alpaca, Vicuña, And Llama",1884,475637,475637,1.0,exact01,7888861,7888561,1.0,exact01,Lb,3,
Seeds — Of Other Sorts,1875,474934,0,0.0,nodata,474934,0,0.0,nodata,Value,0,
Other Farinaceous Substances,1876,474652,0,0.0,nodata,474652,0,0.0,nodata,Value,0,
Yarn,1889,474561,479897,1.0112,within5,3422121,9356005,2.734,over,Lb,7,
"Clocks, And Parts Thereof",1895,474556,0,0.0,nodata,474556,0,0.0,nodata,Value,0,
Yarn,1892,474322,528236,1.1137,over,9022158,9125118,1.0114,within5,Lb,10,
Lace,1880,474140,0,0.0,nodata,474140,0,0.0,nodata,Value,0,
Watches,1874,474119,0,0.0,nodata,474119,0,0.0,nodata,Value,0,
Poultry And Game,1889,473193,0,0.0,nodata,473193,0,0.0,nodata,Value,0,
Pepper,1892,472142,0,0.0,nodata,31190075,0,0.0,nodata,Lb,0,
Spices — Unenumerated,1881,472122,472122,1.0,exact01,13616780,13616780,1.0,exact01,Lb,9,
Oil — Turpentine,1887,472016,472016,1.0,exact01,359202,359202,1.0,exact01,Cwt,5,
Valonia,1868,471887,0,0.0,nodata,29623,0,0.0,nodata,Ton,0,
Yarn,1888,471776,471776,1.0,exact01,8578200,8578200,1.0,exact01,Lb,7,
Rosin,1873,471608,471608,1.0,exact01,955789,955789,1.0,exact01,Cwt,3,
"Flowers, Artificial",1879,471145,0,0.0,nodata,471145,0,0.0,nodata,Value,0,
Bristles,1889,470929,470929,1.0,exact01,3334698,3334698,1.0,exact01,Lb,10,
Mares,1898,470901,472221,1.0028,within5,17058,17013,0.9974,within5,Number,19,
Bristles,1884,470496,470496,1.0,exact01,2926492,2923462,0.999,within5,Lb,9,
Grapes — Raw,1894,470428,475503,1.0108,within5,832893,838582,1.0068,within5,Bushel,10,
Grapes,1894,470423,0,0.0,nodata,832893,0,0.0,nodata,Bushel,0,
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",1881,470320,0,0.0,nodata,51566,0,0.0,nodata,Ton,0,
Oil — Turpentine,1872,470085,470085,1.0,exact01,220292,220292,1.0,exact01,Cwt,3,
"Drugs, Unenumerated",1872,469898,0,0.0,nodata,469898,0,0.0,nodata,Value,0,
Wood And Timber — Staves,1880,469847,469817,0.9999,exact01,103536,103536,1.0,exact01,Load,8,
Clocks,1888,469450,0,0.0,nodata,469450,0,0.0,nodata,Number,0,
"Clocks, And Parts Thereof",1888,469450,0,0.0,nodata,469450,0,0.0,nodata,Value,0,
Watches,1871,469414,0,0.0,nodata,469414,0,0.0,nodata,Value,0,
For Expressing Oil Therefrom,1876,469275,0,0.0,nodata,31471,0,0.0,nodata,Ton,0,
"Yeast, Dried",1878,468993,468993,1.0,exact01,180171,180171,1.0,exact01,Cwt,4,
Of Wool (Other Than Goats'): Cloths,1893,468889,0,0.0,nodata,2881186,0,0.0,nodata,Yard,0,
Clocks,1883,468664,468664,1.0,exact01,720321,720321,1.0,exact01,Number,6,
"China, Or Porcelain, And Earthenware",1880,468563,0,0.0,nodata,108257,0,0.0,nodata,Cwt,0,
Cutch And Gambier,1870,468388,0,0.0,nodata,24996,0,0.0,nodata,Ton,0,
"Zinc — Crude, In Cakes",1873,468359,468359,1.0,exact01,20031,20031,1.0,exact01,Ton,6,
Cordage And Twine,1878,468019,0,0.0,nodata,468019,0,0.0,nodata,Value,0,
"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",1895,467976,456302,0.9751,within5,10911,10214,0.9361,under,Cwt,25,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1895,467976,0,0.0,nodata,10911,0,0.0,nodata,Cwt,0,
Watches,1881,467830,0,0.0,nodata,393072,0,0.0,nodata,Value,0,
Spices — Unenumerated,1888,467816,467816,1.0,exact01,19474594,19474594,1.0,exact01,Lb,13,
"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",1896,467385,0,0.0,nodata,75197,0,0.0,nodata,Ton,0,
Oil — Seed,1878,467375,467375,1.0,exact01,12863,12863,1.0,exact01,Ton,6,
"Seed, Of All Kinds",1878,467375,0,0.0,nodata,12863,0,0.0,nodata,Ton,0,
"Vegetables, Raw, Unenumerated",1885,467287,0,0.0,nodata,467287,0,0.0,nodata,Value,0,
Cocoa,1872,467144,467144,1.0,exact01,15044134,15044134,1.0,exact01,Lb,11,
Rags And Other Materials For Making Paper — Linen And Cotton,1885,466928,463928,0.9936,within5,35470,35467,0.9999,exact01,Ton,13,
Of Wool (Other Than Goats'): Cloths,1894,466834,0,0.0,nodata,2744851,0,0.0,nodata,Yard,0,
"Silk — Knubs Or Husks Of Silk, And Waste",1874,466283,466283,1.0,exact01,35141,35141,1.0,exact01,Cwt,8,
Rags And Other Materials For Making Paper — Linen And Cotton,1887,466167,466137,0.9999,exact01,38273,38273,1.0,exact01,Ton,14,
Phosphate Of Lime And Rock,1896,465931,486334,1.0438,within5,291314,295803,1.0154,within5,Ton,21,
"Skins, Furs, And Pelts — Seal",1890,465844,465844,1.0,exact01,470230,470230,1.0,exact01,Number,14,
Valonia,1885,465112,0,0.0,nodata,29487,0,0.0,nodata,Ton,0,
Mares,1899,464229,438619,0.9448,under,17014,16722,0.9828,within5,Number,16,
Spices — Pepper,1881,464009,464009,1.0,exact01,20795087,20795087,1.0,exact01,Lb,4,
Straw,1869,463859,0,0.0,nodata,352484,0,0.0,nodata,Lb,0,
Cutch And Gambier,1868,463463,0,0.0,nodata,23780,0,0.0,nodata,Ton,0,
"Flowers, Artificial",1880,463109,0,0.0,nodata,463109,0,0.0,nodata,Value,0,
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",1882,462751,62341,0.1347,under,52770,4929,0.0934,under,Ton,5,
Gutta Percha,1884,462746,462746,1.0,exact01,62713,62713,1.0,exact01,Cwt,7,
"Ore, Unenumerated",1892,462295,235260,0.5089,under,46205,0,0.0,nodata,Cwt,16,
Spices — Pepper,1876,462084,459084,0.9935,within5,25957070,25957070,1.0,exact01,Lb,6,
"Clocks, And Parts Thereof",1892,461806,0,0.0,nodata,461806,0,0.0,nodata,Value,0,
Seed,1889,461691,0,0.0,nodata,17039,0,0.0,nodata,Ton,0,
"Beef, Salted And Fresh",1870,461521,0,0.0,nodata,215748,0,0.0,nodata,Cwt,0,
"Skins And Furs — Goat, Undressed",1884,461502,0,0.0,nodata,4570325,0,0.0,nodata,Number,0,
"Of Other Sorts (Including ""Nuts, For Fruit"")",1886,461492,0,0.0,nodata,461492,0,0.0,nodata,Value,0,
Olive,1900,461084,0,0.0,nodata,12044,0,0.0,nodata,Ton,0,
Rosin,1900,461064,0,0.0,nodata,1801571,0,0.0,nodata,Cwt,0,
Oil — Coco-Nut,1873,460681,460681,1.0,exact01,266798,266798,1.0,exact01,Cwt,6,
Cocoa Nut,1873,460681,0,0.0,nodata,266798,0,0.0,nodata,Cwt,0,
Coco Nut,1873,460681,0,0.0,nodata,266798,0,0.0,nodata,Cwt,0,
Embroidery And Needlework,1888,460550,0,0.0,nodata,460550,0,0.0,nodata,Value,0,
Skins And Furs — Skins : Sheep And Lamb,1868,460216,0,0.0,nodata,6810868,0,0.0,nodata,Number,0,
"Silk — Knubs Or Husks Of Silk, And Waste",1873,460128,460128,1.0,exact01,31815,31815,1.0,exact01,Cwt,9,
"Silk — Knubs Or Husks Of Silk, And Waste",1897,460095,636860,1.3842,over,54774,75866,1.3851,over,Cwt,18,
Bristles,1898,459968,507537,1.1034,over,3778749,4218961,1.1165,over,Lb,14,
"Skins, Furs, And Pelts — Seal",1885,459801,459701,0.9998,exact01,580718,580714,1.0,exact01,Number,11,
Valonia,1892,459429,0,0.0,nodata,33173,0,0.0,nodata,Ton,0,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1882,459250,0,0.0,nodata,9381,0,0.0,nodata,Cwt,0,
"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",1896,459181,250570,0.5457,under,10911,6464,0.5924,under,Cwt,13,
"Ivory — Teeth, Elephants', Sea Cow, And Sea Horse",1896,459181,0,0.0,nodata,10911,0,0.0,nodata,Cwt,0,
"Teeth, Elephants', Sea-Cows', Or Walrus",1896,459181,0,0.0,nodata,10911,0,0.0,nodata,?,0,
Cordage And Twine,1888,459138,0,0.0,nodata,459138,0,0.0,nodata,Value,0,
Embroidery And Needlework,1891,458778,0,0.0,nodata,458778,0,0.0,nodata,Value,0,
Watches,1879,458588,0,0.0,nodata,458588,0,0.0,nodata,Value,0,
"Of Other Sorts (Including ""Nuts, For Fruit"")",1883,458288,0,0.0,nodata,458288,0,0.0,nodata,Value,0,
Sugar — Glucose,1891,457591,457594,1.0,exact01,708079,708079,1.0,exact01,Cwt,6,
Poultry And Game (Including Rabbits),1881,457553,0,0.0,nodata,457553,0,0.0,nodata,Value,0,
Maize Or Indian Corn Meal,1899,457534,0,0.0,nodata,1814766,0,0.0,nodata,Cwt,0,
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",1884,457400,0,0.0,nodata,54126,0,0.0,nodata,Ton,0,
Poultry And Game,1891,456979,0,0.0,nodata,456979,0,0.0,nodata,Value,0,
Maize Or Indian Corn Meal,1900,456449,0,0.0,nodata,1633505,0,0.0,nodata,Cwt,0,
Skins And Furs — Manufactures Of,1885,456365,0,0.0,nodata,456365,0,0.0,nodata,Value,0,
Opium,1885,456134,0,0.0,nodata,710099,0,0.0,nodata,Lb,0,
Rags And Other Materials For Making Paper — Linen And Cotton,1886,455741,455241,0.9989,within5,36604,36604,1.0,exact01,Ton,12,
"Cured, Sardines",1893,455447,455447,1.0,exact01,125292,125292,1.0,exact01,Cwt,9,
Other Sorts Of Shell Fish,1893,455447,0,0.0,nodata,125292,0,0.0,nodata,Cwt,0,
Valonia,1888,455044,0,0.0,nodata,31871,0,0.0,nodata,Ton,0,
"Wool — Alpaca, Vicuña, And Llama",1870,454979,0,0.0,nodata,3888536,0,0.0,nodata,Lb,0,
"Train Or Blubber, And Sperm",1891,454704,0,0.0,nodata,0,0,,noanchor,Ton,0,
Valonia,1889,454630,0,0.0,nodata,31376,0,0.0,nodata,Ton,0,
"Clocks, And Parts Thereof",1889,454556,0,0.0,nodata,454556,0,0.0,nodata,Value,0,
