commodity,year,origin,value,qty
Wine — Total Of All Kinds,1881,Oranges And Lemons Bushels,1580735,3835103
Petroleum,1899,Hemp,1550862,0
Wine — Total Of All Kinds,1877,Oranges And Lemons Bushels,1458198,3533781
Wine — Total Of All Kinds,1877,Coffee Cwts,1458003,1608282
Wine — Total Of All Kinds,1881,Barley,1314249,9805944
Wool — Sheep Or Lambs',1898,Sheep Or Lambs,1244694,0
Wine — Total Of All Kinds,1876,Coffee Cuts,1194210,1361642
Wine — Total Of All Kinds,1882,Cotton Raw,1194000,15929564
Wine — Total Of All Kinds,1876,Oranges And Lemons Bushels,1175753,2968650
Wine — Total Of All Kinds,1882,Coffee Cuts,1159412,1364084
Petroleum,1899,Hides Raw,1131392,0
Wine — Total Of All Kinds,1876,Wheat Meal And Flour,1128481,5959821
Petroleum,1899,Rice,1110909,0
Petroleum,1899,Of All Other Kinds,1025463,0
Wine — Total Of All Kinds,1881,Coffee Cwts,995695,1229003
Wine — Total Of All Kinds,1877,Wheat Meal And Flour,931258,7377303
Petroleum,1899,Potatoes,928191,0
Petroleum,1899,Gutta Percha,914394,0
Wine — Total Of All Kinds,1881,Cotton Raw,850464,14991682
Wine — Total Of All Kinds,1877,Fruit Currants,813409,1349965
Wine — Total Of All Kinds,1882,Sheep And Lambs,800180,1124391
Wine — Total Of All Kinds,1876,Sheep And Lambs,779134,1041329
Wine — Total Of All Kinds,1882,Paper Of All Kinds Except Hangings Cuts,752687,1098118
Wine — Total Of All Kinds,1881,Raw Unenumerated Bushels,743969,4045691
Wine — Total Of All Kinds,1877,Sheep And Lambs,737779,874055
Wine — Total Of All Kinds,1881,Fruit Currants,719672,1189830
Wine — Total Of All Kinds,1881,Glass Of All Kinds Cwts,706268,1283119
Wine — Total Of All Kinds,1882,Glass Of All Kinds Cuts,694169,1339444
Wine — Total Of All Kinds,1881,Sheep And Lambs,692667,935144
Wine — Total Of All Kinds,1881,Paper Of All Kinds Except Hangings Cwts,681761,1765912
Wine — Total Of All Kinds,1882,Hides Raw,666763,1190667
Wine — Total Of All Kinds,1876,Fruit Currants,622357,1125949
Wine — Total Of All Kinds,1876,Cotton Raw,616315,13284454
