flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,Railroad — Rails (Iron and Steel),27704,27910,IRON,Railroad—Unenumerated,Tons,42,309395,36005,0,gap,as_1896,Iron/Railroad — Rails (Iron and Steel)
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,Railroad — Rails (Iron and Steel),27915,28144,IRON,"Wire of Iron and Steel (except Telegraphic Wire), and Manu- factures thereof",Tons,47,658666,15758,0,gap,as_1896,Iron/Railroad — Rails (Iron and Steel)
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,Railroad — Rails (Iron and Steel),28149,28494,IRON,Sheets and Boiler Plates,Tons,70,846733,58692,0,gap,as_1896,Iron/Railroad — Rails (Iron and Steel)
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,29367,29607,IRON,"Anchors, Grapnels, Chains and Cables",Tons,49,275095,24297,0,gapx4,as_1896,"Iron/Iron, Tin Plates and Sheets"
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,31369,31593,IRON AND STEEL,Sheets,Tons,46,656976,45457,0,gap,as_1892,"IRON AND STEEL/Steel Bar, of all kinds"
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,31976,32061,JUTE YARN,,Tons,18,258836,3571,0,gapx2,as_1896,"IRON AND STEEL/Manufactures of Steel, or of     Steel and Iron combined"
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,32066,32310,JUTE MANUFACTURES,,Tons,49,2313346,134822,0,gapx2,as_1896,"IRON AND STEEL/Manufactures of Steel, or of     Steel and Iron combined"
export_uk,as_1897,1893,LEAD,Pig,32549,32634,LEAD,"Rolled, Sheet, Piping, Tubing,   and other Manufactures",Tons,18,117842,0,0,gapx4,as_1896,LEAD/Pig
export_uk,as_1897,1893,LEAD,South Africa,32639,32719,LEAD,"Rolled, Sheet, Piping, Tubing,   and other Manufactures",Tons,17,143488,6969,0,gapx4,as_1896,LEAD/Pig
export_uk,as_1897,1893,LEAD,South Africa,33384,33509,LINEN YARN,,,26,903288,4993,0,gapx4,as_1896,"LEATHER/Wrought. Other Articles, Un- enumerated"
export_uk,as_1897,1893,LEAD,South Africa,33824,33969,LINEN MANUFACTURES,"Checked, Printed, or Dyed and Damasks and Diapers",Yards,30,300055,9081,0,gapx2,as_1896,"LINEN MANUFACTURES/Piece Goods, Plain, Unbleached or Bleached"
export_uk,as_1897,1893,LEAD,"Not being Steam Engines, Agricultural",35256,35406,"MACHINERY and MILL WORK, or parts thereof",Not being Steam Engines: Sewing Machines,Agricultural Machinery,31,698132,0,0,gapx2,as_1896,"MACHINERY and MILL WORK, or parts thereof/Not being Steam Engines, Agricultural"
export_uk,as_1897,1893,LEAD,"Not being Steam Engines, Agricultural",35411,35540,"MACHINERY and MILL WORK, or parts thereof",Mining,Agricultural Machinery,26,407761,0,0,gapx2,as_1896,"MACHINERY and MILL WORK, or parts thereof/Not being Steam Engines, Agricultural"
export_uk,as_1897,1893,"TELEGRAPHIC WIRES, AND APPARATUS",East Africa,42972,43132,"TELEGRAPHIC WIRES, AND APPARATUS",,,33,345551,21443,0,gapx2,as_1896,"TELEGRAPHIC WIRES, AND APPARATUS/"
