measure,fiscal_year,country,value,source_volume,source_fy,table_seq
exports,1875,Other Countries,318577,oocihm.9_08052_11_4,1877,3
exports,1876,Other Countries,914309,oocihm.9_08052_11_4,1877,3
exports,1877,Other Countries,812981,oocihm.9_08052_11_4,1877,3
exports,1873,Totals,89789922,oocihm.9_08052_11_4,1877,3
exports,1874,Totals,89351928,oocihm.9_08052_11_4,1877,3
exports,1875,Totals,77886979,oocihm.9_08052_11_4,1877,3
exports,1876,Totals,80966435,oocihm.9_08052_11_4,1877,3
exports,1877,Totals,75875393,oocihm.9_08052_11_4,1877,3
efc,1873,Great Britain,68522776,oocihm.9_08052_11_4,1877,4
efc,1874,Great Britain,63076437,oocihm.9_08052_11_4,1877,4
efc,1875,Great Britain,60347067,oocihm.9_08052_11_4,1877,4
efc,1876,Great Britain,40734260,oocihm.9_08052_11_4,1877,4
efc,1877,Great Britain,39572239,oocihm.9_08052_11_4,1877,4
efc,1873,United States,47735678,oocihm.9_08052_11_4,1877,4
efc,1874,United States,54283072,oocihm.9_08052_11_4,1877,4
efc,1875,United States,59805840,oocihm.9_08052_11_4,1877,4
efc,1876,United States,46070033,oocihm.9_08052_11_4,1877,4
efc,1877,United States,51312669,oocihm.9_08052_11_4,1877,4
efc,1873,France,2023288,oocihm.9_08052_11_4,1877,4
efc,1874,France,2302500,oocihm.9_08052_11_4,1877,4
efc,1875,France,1941298,oocihm.9_08052_11_4,1877,4
efc,1876,France,1840877,oocihm.9_08052_11_4,1877,4
efc,1877,France,1410732,oocihm.9_08052_11_4,1877,4
efc,1873,Germany,1099925,oocihm.9_08052_11_4,1877,4
efc,1874,Germany,956917,oocihm.9_08052_11_4,1877,4
efc,1875,Germany,718423,oocihm.9_08052_11_4,1877,4
efc,1876,Germany,482587,oocihm.9_08052_11_4,1877,4
efc,1877,Germany,370594,oocihm.9_08052_11_4,1877,4
efc,1873,Spain,477886,oocihm.9_08052_11_4,1877,4
efc,1874,Spain,459067,oocihm.9_08052_11_4,1877,4
efc,1875,Spain,383484,oocihm.9_08052_11_4,1877,4
efc,1876,Spain,436034,oocihm.9_08052_11_4,1877,4
efc,1877,Spain,278098,oocihm.9_08052_11_4,1877,4
efc,1873,Portugal,75032,oocihm.9_08052_11_4,1877,4
efc,1874,Portugal,100544,oocihm.9_08052_11_4,1877,4
efc,1875,Portugal,65006,oocihm.9_08052_11_4,1877,4
efc,1876,Portugal,71655,oocihm.9_08052_11_4,1877,4
efc,1877,Portugal,45465,oocihm.9_08052_11_4,1877,4
efc,1873,Italy,52425,oocihm.9_08052_11_4,1877,4
efc,1874,Italy,46085,oocihm.9_08052_11_4,1877,4
efc,1875,Italy,43958,oocihm.9_08052_11_4,1877,4
